name,objectID,picIDs,picURLs,categoryName,typeName,period,dynasty,year
清雍正景德镇窑青花釉里红海水龙纹坛,d657390ec0d84024ad228089093944fc,41fa8317-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.1854.jpg,瓷器,NA,清,雍正,1728.5
清康熙景德镇窑霁红釉玉壶春瓶,d6b1b689ba334c2687ddaeafcb8de57f,3c4bb499-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.1628.jpg,瓷器,瓶,清,康熙,1691.5
清雍正景德镇窑孔雀绿釉灯座,d6d6e718f9584744afa3560712165888,43e837c7-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.1948.jpg,瓷器,座,清,雍正,1728.5
清乾隆景德镇窑青花花卉纹方杯,d6f47a11c9e34ebeb827914ad81d314f,46982722-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.2051.jpg,瓷器,杯,清,乾隆,1765.5
清雍正景德镇窑青花缠枝花卉纹瓶,d717bbcdbfe645049147032db3d7f20d,3d53dce4-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.1668.jpg,瓷器,瓶,清,雍正,1728.5
清康熙景德镇窑青花花蝶纹缸,d7f7b433f2d7432ab64daf1fff590c9a,39fda62b-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.1538.jpg,瓷器,NA,清,康熙,1691.5
清康熙款景德镇窑青花书归盘谷序文笔筒,d7fef142688144ffb88daaf3e82ba2b9,3c265960-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.1623.jpg,瓷器,筒,清,康熙,1691.5
雍正款青花大碗,d801e27888da4172a006ea3385489dea,6ab342b8-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.4119.jpg,瓷器,碗,NA,雍正,1728.5
清康熙景德镇窑青花莲花纹瓶,d86d71712c904441bb270a953e054453,3a2304ec-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.1544.jpg,瓷器,瓶,清,康熙,1691.5
清道光款景德镇窑缠枝花卉纹碗,d8837d9ef1cc4973b17d0cbc2c59b133,491f540c-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.2150.jpg,瓷器,碗,清,道光,1835.0
